127.0.0.1 - - [18/Nov/2021:10:12:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:12:52 +0530] "GET /StudentDetailsTask/StudentDetails.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:28:00 +0530] "GET /StudentDetailsTask/StudentDetails.jsp HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:28:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:28:46 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?id=2&name=kalyan&city=Aurangabad&contact=7028320309 HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:31:31 +0530] "GET /StudentDetailsTask/StudentDetails.jsp HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:32:34 +0530] "GET /StudentDetailsTask/SaveStudent.jsp?id=2&name=kalyan&city=Aurangabad&contact=7028320309 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:32:34 +0530] "GET /StudentDetailsTask/StuentDetails.jsp?code=200 HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:33:20 +0530] "GET /StudentDetailsTask/SaveStudent.jsp?id=2&name=kalyan&city=Aurangabad&contact=7028320309 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:33:20 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=200 HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:33:52 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=200 HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:33:58 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=200 HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:33:59 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=200 HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:37:07 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=200 HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:37:08 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=200 HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:37:09 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=200 HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:37:19 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=500 HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:37:54 +0530] "GET /StudentDetailsTask/SaveStudent.jsp?id=4&name=Sagar&city=Dehradun&contact=7757874950 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:37:54 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=200 HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [18/Nov/2021:10:41:27 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=200 HTTP/1.1" 200 2182
